tick,sirstate,n
1137.1,2,10000
1138.1,2,10000
1139.1,2,10000
1140.1,2,10000
1141.1,2,10000
1142.1,2,10000
1143.1,2,10000
1144.1,2,10000
1145.1,2,10000
1146.1,2,10000
1147.1,2,10000
1148.1,2,10000
1149.1,2,10000
1150.1,2,10000
1151.1,2,10000
1152.1,2,10000
1153.1,2,10000
1154.1,2,10000
1155.1,2,10000
1156.1,2,10000
1157.1,2,10000
1158.1,2,10000
1159.1,2,10000
1160.1,2,10000
1161.1,2,10000
1162.1,2,10000
1163.1,2,10000
1164.1,2,10000
1165.1,2,10000
1166.1,2,10000
1167.1,2,10000
1168.1,2,10000
1169.1,2,10000
1170.1,2,10000
1171.1,2,10000
1172.1,2,10000
1173.1,2,10000
1174.1,2,10000
1175.1,2,10000
1176.1,2,10000
1177.1,2,10000
1178.1,2,10000
1179.1,2,10000
1180.1,2,10000
1181.1,2,10000
1182.1,2,10000
1183.1,2,10000
1184.1,2,10000
1185.1,2,10000
1186.1,2,10000
1187.1,2,10000
1188.1,2,10000
1189.1,2,10000
1190.1,2,10000
1191.1,2,10000
1192.1,2,10000
1193.1,2,10000
1194.1,2,10000
1195.1,2,10000
1196.1,2,10000
1197.1,2,10000
1198.1,2,10000
1199.1,2,10000
1200.1,2,10000
1201.1,2,10000
1202.1,2,10000
1203.1,2,10000
1204.1,2,10000
1205.1,2,10000
1206.1,2,10000
1207.1,2,10000
1208.1,2,10000
1209.1,2,10000
1210.1,2,10000
1211.1,2,10000
1212.1,2,10000
1213.1,2,10000
1214.1,2,10000
1215.1,2,10000
1216.1,2,10000
1217.1,2,10000
1218.1,2,10000
1219.1,2,10000
1220.1,2,10000
1221.1,2,10000
1222.1,2,10000
1223.1,2,10000
1224.1,2,10000
1225.1,2,10000
1226.1,2,10000
1227.1,2,10000
1228.1,2,10000
1229.1,2,10000
1230.1,2,10000
1231.1,2,10000
1232.1,2,10000
1233.1,2,10000
1234.1,2,10000
1235.1,2,10000
1236.1,2,10000
1237.1,2,10000
1238.1,2,10000
1239.1,2,10000
1240.1,2,10000
1241.1,2,10000
1242.1,2,10000
1243.1,2,10000
1244.1,2,10000
1245.1,2,10000
1246.1,2,10000
1247.1,2,10000
1248.1,2,10000
1249.1,2,10000
1250.1,2,10000
1251.1,2,10000
1252.1,2,10000
1253.1,2,10000
1254.1,2,10000
1255.1,2,10000
1256.1,2,10000
1257.1,2,10000
1258.1,2,10000
1259.1,2,10000
1260.1,2,10000
1261.1,2,10000
1262.1,2,10000
1263.1,2,10000
